id,english,french,bislama,where
TR-0001,Home,Accueil,Hom,table: nav.home
TR-0002,Deals,Offres,Dils,table: nav.deals
TR-0003,Map,Carte,Map,table: nav.map
TR-0004,Passes,Pass,Pas,table: nav.passes
TR-0005,Dashboard,Tableau de bord,Dasbod,table: nav.dashboard
TR-0006,Admin,Admin,Admin,table: nav.admin
TR-0007,Sign In,Connexion,Saen In,table: nav.signin
TR-0008,Sign Out,Déconnexion,Saen Aot,table: nav.signout
TR-0009,Discover Vanuatu's Best Deals,Découvrez les meilleures offres du Vanuatu,Faenem Bes Dils blong Vanuatu,table: hero.title
TR-0010,"Unlock exclusive discounts up to 35% on dining, tours, and activities. Join thousands of happy travelers and local businesses.","Profitez de réductions exclusives jusqu'à 35 % sur la restauration, les visites et les activités. Rejoignez des milliers de voyageurs et d'entreprises locales satisfaits.","Openem eksklusiv diskaon kasem 35% long kakae, tua, mo aktiviti. Joinem tausen blong hapi turis mo lokal bisnis.",table: hero.subtitle
TR-0011,Sign Up & Get Deals,Inscrivez-vous et profitez des offres,Saen Ap mo Karem Dils,table: hero.ctaTourist
TR-0012,List Your Business (Free),Inscrivez votre entreprise (gratuit),List blong Bisnis Blong Yu (Fri),table: hero.ctaBusiness
TR-0013,Own a business?,Vous avez un commerce ?,Yu gat bisnis?,table: hero.businessOwnersHint
TR-0014,Get Your Pass,Obtenez votre pass,Karem Pas Blong Yu,table: hero.cta
TR-0015,Explore Deals,Explorer les offres,Eksploarem lo Dils,table: hero.explore
TR-0016,Browse deals,Voir les offres,Lukim ol dils,table: hero.browseDeals
TR-0017,Welcome back — find your next deal,Bon retour — trouvez votre prochaine offre,Welkam bak — faenem nex dils blong yu,table: hero.welcomeBack
TR-0018,Local Businesses,Entreprises locales,Lokol Bisnis,table: hero.businesses
TR-0019,Average Savings,Économies moyennes,Averej Sevings,table: hero.savings
TR-0020,Happy Tourists,Touristes satisfaits,Hapi Turis,table: hero.tourists
TR-0021,All,Tout,Olgeta,table: cat.all
TR-0022,Dining,Restauration,Kakae,table: cat.dining
TR-0023,Activities,Activités,Aktiviti,table: cat.activities
TR-0024,Tours,Visites,Tua,table: cat.tours
TR-0025,Transportation,Transport,Transport,table: cat.transportation
TR-0026,Shopping,Shopping,Soping,table: cat.shopping
TR-0027,Spa & Wellness,Spa & Bien-être,Spa mo Helt,table: cat.spa
TR-0028,Accommodation,Hébergement,Ples blong slip,table: cat.accommodation
TR-0029,Build your Pass,Construisez votre pass,Mekem Pas blo yu,table: pass.title
